User Id, Group, DOF real T, DOF real R, DOF virtual T, DOF virtual R, task R DOF, task T DOF, target distance T [m], target width T [m], target distance R [m], target width R [m], ID effective R [bit], ID effective T [bit], ID combined [bit], repetition, trial, button clicks, successful clicks, Hit, hit type, MT [s], effective end pos, effective A trans [m], overshoots T, peak acceleration T [m/s^2], movement continuity T, error T [m], peak speed T [m/s], first reversal T, reversal points T, effective end rot, effective A rot [m], overshoots R, peak acceleration R [°/s^2], movement continuity R, error R, peak speed R, first reversal R, reversal points R, Cursor, TP [bit/s],  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 0, 1, 1, 1, Manual, 4.502633094787598, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.585  0.566  0.580  -0.010), 109.11370462753469, 1, 3336.27135707983, -0.907576071371397, 1.6267631864369185, 323.65227840322535, 29.069291841882972, 3, Phone, 0.0,  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 1, 2, 2, 1, Manual, 2.0830440521240234, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  -0.007  0.003  -0.000), 108.64985995525629, 1, 2431.559332030853, -0.11345476930136683, 0.8391949716993904, 302.9732225880679, 5.651295381689097, 2, Phone, 0.0,  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 2, 3, 3, 1, Manual, 2.700532913208008, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.578  0.562  0.592  -0.009), 109.70016809864725, 1, 3409.100745178661, -0.1195734654963153, 2.971140528468882, 361.1236693175035, 17.539605050347813, 2, Phone, 0.0,  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 3, 4, 4, 1, Manual, 1.9834632873535156, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  -0.008  0.002  0.007), 109.83891104345598, 1, 2706.2939579098975, -0.12941325815737623, 1.2619725213037167, 244.1606147423191, 5.792332144124435, 2, Phone, 0.0,  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 4, 5, 5, 1, Manual, 2.334787368774414, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.582  0.554  0.595  -0.021), 109.21771558840403, 3, 1998.6761927014284, -0.3742659057743994, 4.097671348108983, 308.35530453720156, 5.5581670520056585, 2, Phone, 0.0,  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 5, 6, 6, 1, Manual, 2.550172805786133, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  0.004  -0.009  -0.005), 109.20654018303607, 1, 2848.5372889590685, -0.2271663194336961, 1.2132148956598738, 294.09797139660213, 9.33572521914844, 2, Phone, 0.0,  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 6, 7, 7, 1, Manual, 2.0330581665039062, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.588  0.578  0.565  0.011), 108.33770537487048, 1, 2308.2176729113157, -0.6798030186176981, 1.585672706054851, 323.71583704394766, 8.949667416701223, 2, Phone, 0.0,  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 7, 8, 8, 1, Manual, 2.970762252807617, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  -0.005  0.004  0.009), 107.96209937030176, 2, 5541.042591824938, -0.20688263178828065, 1.2761422393611574, 320.4847360998188, 8.228537989140131, 2, Phone, 0.0,  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 8, 9, 9, 1, Manual, 3.69158935546875, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (0.574  0.579  0.579  -0.016), 109.985888083001, 2, 2721.6407282670916, -0.21699599077893172, 2.6191844568760914, 267.7327618593644, 8.060532917019748, 2, Phone, 0.0,  
1, 1, 3, 3, 0, 3, 3, 0, 0, 0, 108, 10, 0, -, 0, 20, 9, 10, 10, 1, Manual, 2.13006591796875, (0.000  0.000  0.000), 0.0, 0, 0, #div0, 0, 0, 0, 0, (1.000  0.002  0.005  -0.009), 109.34334737556655, 1, 2566.8139505964664, -0.17569403615072057, 1.1486978032801045, 339.7748964823796, 7.515564347360936, 2, Phone, 0.0,  
